Symbol,Series,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty
1,EQ,13-Oct-17,1818.8,1826.7,1856.55,1822,1848.9,1850.8,1845.91,1608366,2968902053,38331,921394,57.29
2,EQ,16-Oct-17,1850.8,1860,1873.25,1842,1854.15,1857.15,1857.21,818636,1520380115,17387,282082,34.46
3,EQ,17-Oct-17,1857.15,1850,1853.7,1839.1,1848.95,1851.25,1848.53,653322,1207682521,21579,286796,43.9
4,IL,17-Oct-17,1810,1855,1858.5,1855,-,1858.5,1857.53,103576,192395980,12,103576,100
5,EQ,18-Oct-17,1851.25,1841,1875,1839,1866.25,1868.5,1864.24,981680,1830089741,21247,454935,46.34
6,IL,18-Oct-17,1858.5,1858,1873,1858,-,1873,1867.53,1102364,2058701321,49,1102364,100
7,EQ,19-Oct-17,1868.5,1861.8,1865,1840.65,1845,1848.4,1853.98,142502,264195241.2,5682,69002,48.42
8,EQ,23-Oct-17,1848.4,1859.9,1869.7,1836.05,1865.85,1863.3,1850.99,1040723,1926372969,30073,581885,55.91
9,IL,23-Oct-17,1873,1866.25,1866.25,1866.25,-,1866.25,1866.25,115746,216010972.5,4,115746,100
10,EQ,24-Oct-17,1863.3,1863,1879.6,1853,1866.55,1867.1,1866.12,2832218,5285245264,66436,848580,29.96
11,IL,24-Oct-17,1866.25,1870,1873,1867,-,1867,1870.16,123000,230030000,11,58000,47.15
12,EQ,25-Oct-17,1867.1,1860,1863,1785,1795.15,1795.1,1800.74,5341802,9619220470,173315,3343490,62.59
13,EQ,26-Oct-17,1795.1,1768,1810,1757.85,1791.7,1795.35,1789.19,7142866,12779964396,184420,4974132,69.64
14,IL,26-Oct-17,1867,1766,1779,1766,-,1779,1774.48,115000,204065000,4,115000,100
15,EQ,27-Oct-17,1795.35,1804.4,1807.5,1779,1787.9,1791.05,1792.86,1868022,3349109114,49615,1118984,59.9
16,IL,27-Oct-17,1779,1797,1797,1797,-,1797,1797,150000,269550000,4,150000,100
17,EQ,30-Oct-17,1791.05,1798.25,1816,1792.4,1815.75,1815,1805.49,1355588,2447503452,27755,880144,64.93
18,EQ,31-Oct-17,1815,1811.5,1811.5,1799.25,1809.45,1808.5,1805.2,1170615,2113192780,55768,722914,61.76
19,EQ,01-Nov-17,1808.5,1815.1,1825,1812,1822.5,1821.2,1819.3,1047653,1905990950,26503,573002,54.69
20,EQ,02-Nov-17,1821.2,1823,1829.8,1816.95,1820,1822.1,1822.05,1184486,2158197543,30785,739301,62.42
21,EQ,03-Nov-17,1822.1,1825.7,1840,1821.6,1830,1830.7,1829.95,952622,1743253303,50442,561501,58.94
22,EQ,06-Nov-17,1830.7,1825,1840,1822.6,1828,1828.6,1833.27,1537061,2817847903,51333,821944,53.48
23,IL,06-Nov-17,1797,1857,1860,1852.6,-,1860,1857.59,1206,2240256.6,27,1206,100
24,EQ,07-Nov-17,1828.6,1838,1844.95,1820.75,1825,1823.7,1828.67,1861594,3404233842,41972,1396048,74.99
25,EQ,08-Nov-17,1823.7,1825.2,1833.6,1819,1822.6,1825.95,1826.22,820786,1498935108,20749,498960,60.79
26,EQ,09-Nov-17,1825.95,1827,1835,1821.1,1834,1827.85,1826.26,778327,1421424360,12695,381328,48.99
27,IL,09-Nov-17,1860,1840,1840,1840,-,1840,1840,110000,202400000,5,110000,100
28,EQ,10-Nov-17,1827.85,1821.7,1834.8,1812.35,1823.95,1822,1821.63,1936090,3526848074,22186,1525422,78.79
29,EQ,13-Nov-17,1822,1822,1823.15,1795,1814.25,1813.55,1806.89,833968,1506888249,25953,529394,63.48
30,EQ,14-Nov-17,1813.55,1815.9,1819,1800,1801.35,1802.35,1805.86,1178117,2127513693,33880,898608,76.27
31,IL,14-Nov-17,1840,1805,1805,1805,-,1805,1805,36482,65850010,2,36482,100
32,EQ,15-Nov-17,1802.35,1798,1803.65,1788,1799.25,1800.25,1796.37,1537092,2761182589,26862,1177181,76.58
33,EQ,16-Nov-17,1800.25,1804,1816,1795.2,1812.95,1807.7,1807.23,1003243,1813088828,32161,631891,62.98
34,IL,16-Nov-17,1805,1806.4,1810,1806.4,-,1810,1808.2,100000,180820000,8,100000,100
35,EQ,17-Nov-17,1807.7,1828.7,1838.3,1813.15,1822,1825.55,1827.72,1589693,2905508997,44931,797013,50.14
36,EQ,20-Nov-17,1825.55,1829,1839.7,1829,1836.05,1838.15,1836.08,598106,1098170760,30131,336543,56.27
37,EQ,21-Nov-17,1838.15,1837.45,1850,1836.1,1848,1846.25,1845.41,568883,1049822787,17143,349608,61.46
38,IL,21-Nov-17,1810,1854.5,1856.25,1854.3,-,1856,1854.83,334,619513.2,14,334,100
39,EQ,22-Nov-17,1846.25,1849.7,1860,1844.55,1854.6,1855.25,1853.89,1415199,2623628897,31420,944319,66.73
40,EQ,23-Nov-17,1855.25,1859,1860,1838,1840,1842.85,1847.79,808145,1493278728,16903,492990,61
41,EQ,24-Nov-17,1842.85,1843,1857.8,1841,1857.5,1851.4,1848.31,1300921,2404501397,26271,979768,75.31
42,EQ,27-Nov-17,1851.4,1849,1862,1845.6,1860.15,1857.55,1852.09,967618,1792111672,75853,622801,64.36
43,EQ,28-Nov-17,1857.55,1856,1871,1855.85,1867.15,1865.35,1866.29,1272635,2375105183,44306,921267,72.39
44,EQ,29-Nov-17,1865.35,1865,1875.5,1855.8,1873,1873.3,1869.11,818646,1530142584,17331,476557,58.21
45,EQ,30-Nov-17,1873.3,1868.7,1873.95,1840,1852.75,1853.7,1859.89,1449078,2695122047,37220,770804,53.19
46,EQ,01-Dec-17,1853.7,1854.9,1860,1844.1,1850.85,1848.2,1850.81,964537,1785177398,39290,598556,62.06
